연도,지역,인구,출생아수(명),사망자수(명)
2008,전국,49540367,465892.0,246113.0
2008,서울,10200827,94736.0,38298.0
2008,부산,3564577,26670.0,19385.0
2008,대구,2492724,20562.0,11605.0
2008,인천,2692696,25365.0,11366.0
2008,광주,1422702,13890.0,6132.0
2008,대전,1480895,14856.0,6105.0
2008,울산,1112407,11365.0,4172.0
2008,세종,0,-,-
2008,경기,11292264,119397.0,44168.0
2008,강원,1508575,12373.0,10506.0
2008,충북,1519587,14064.0,9717.0
2008,충남,2018537,19749.0,13592.0
2008,전북,1855772,15878.0,13241.0
2008,전남,1919000,16363.0,16018.0
2008,경북,2673931,23538.0,19654.0
2008,경남,3225255,31493.0,19341.0
2008,제주,560618,5593.0,2813.0
2009,전국,49773145,444849.0,246942.0
2009,서울,10208302,89594.0,38790.0
2009,부산,3543030,25110.0,18954.0
2009,대구,2489781,19399.0,11741.0
2009,인천,2710579,24379.0,11662.0
2009,광주,1433640,13101.0,6179.0
2009,대전,1484180,13915.0,5949.0
2009,울산,1114866,11033.0,4318.0
2009,세종,0,-,-
2009,경기,11460610,113692.0,45132.0
2009,강원,1512870,12112.0,10415.0
2009,충북,1527478,13903.0,9985.0
2009,충남,2037582,19257.0,13555.0
2009,전북,1854508,15233.0,12921.0
2009,전남,1913004,15995.0,15734.0
2009,경북,2669876,22373.0,19627.0
2009,경남,3250176,30320.0,19157.0
2009,제주,562663,5433.0,2823.0
2010,전국,50515666,470171.0,255405.0
2010,서울,10312545,93266.0,40130.0
2010,부산,3567910,27415.0,19708.0
2010,대구,2511676,20557.0,12054.0
2010,인천,2758296,25752.0,12087.0
2010,광주,1454636,13979.0,6532.0
2010,대전,1503664,14314.0,6313.0
2010,울산,1126298,11432.0,4328.0
2010,세종,0,-,-
2010,경기,11786622,121753.0,47687.0
2010,강원,1529818,12477.0,10729.0
2010,충북,1549528,14670.0,9825.0
2010,충남,2075514,20242.0,14014.0
2010,전북,1868963,16100.0,13188.0
2010,전남,1918485,16654.0,16042.0
2010,경북,2689920,23700.0,20249.0
2010,경남,3290536,32203.0,19502.0
2010,제주,571255,5657.0,3017.0
2011,전국,50734284,471265.0,257396.0
2011,서울,10249679,91526.0,40320.0
2011,부산,3550963,27759.0,19643.0
2011,대구,2507271,20758.0,12355.0
2011,인천,2801274,26118.0,12504.0
2011,광주,1463464,13916.0,6593.0
2011,대전,1515603,14808.0,6336.0
2011,울산,1135494,11542.0,4462.0
2011,세종,0,-,-
2011,경기,11937415,122027.0,48394.0
2011,강원,1536448,12408.0,10521.0
2011,충북,1562903,14804.0,10176.0
2011,충남,2101284,20398.0,14025.0
2011,전북,1874031,16175.0,13126.0
2011,전남,1914339,16612.0,16090.0
2011,경북,2699195,24250.0,20237.0
2011,경남,3308765,32536.0,19593.0
